customer_id,customer_name,order_id,sales
SM-20320,Sean Miller,CA-2014-145317,22638.48
TC-20980,Tamara Chand,CA-2016-118689,17499.95
RB-19360,Raymond Buch,CA-2017-140151,13999.96
TA-21385,Tom Ashbrook,CA-2017-127180,11199.97
HL-15040,Hunter Lopez,CA-2017-166709,10499.97
AB-10105,Adrian Barton,CA-2016-117121,9892.74
SC-20095,Sanjit Chand,CA-2014-116904,9449.95
BS-11365,Bill Shonely,US-2016-107440,9099.93
SE-20110,Sanjit Engle,CA-2016-158841,8749.95
CC-12370,Christopher Conant,CA-2016-143714,8399.98
KL-16645,Ken Lonsdale,CA-2014-143917,8187.65
BM-11140,Becky Martin,CA-2014-139892,8159.95
GT-14635,Grant Thornton,US-2017-168116,7999.98
TB-21400,Tom Boeckenhauer,CA-2014-145541,6999.96
CM-12385,Christopher Martinez,CA-2015-145352,6354.95
AR-10540,Andy Reiter,CA-2017-138289,5443.96
DR-12940,Daniel Raglin,US-2016-140158,5399.91
TS-21370,Todd Sumrall,CA-2017-143112,5199.96
JW-15220,Jane Waco,CA-2017-135909,5083.96
EH-13765,Edward Hooks,CA-2016-136301,4912.59
KD-16270,Karen Daniels,US-2016-143819,4899.93
HM-14860,Harry Marie,US-2015-128587,4899.93
NC-18535,Nick Crebassa,CA-2017-149881,4799.98
JA-15970,Joseph Airdo,CA-2017-158379,4663.74
KD-16495,Keith Dawkins,CA-2015-114811,4643.8
JM-15865,John Murray,CA-2014-144624,4548.81
DP-13390,Dennis Pardue,CA-2016-138478,4535.98
CS-12505,Cindy Stewart,CA-2016-108196,4499.99
MJ-17740,Max Jones,CA-2016-100300,4476.8
TP-21415,Tom Prescott,CA-2017-118892,4416.17
QJ-19255,Quincy Jones,CA-2015-117086,4404.9
PO-18850,Patrick O'Brill,CA-2017-129021,4367.9
AB-10060,Adam Bellavance,CA-2016-129714,4355.17
PK-19075,Pete Kriz,US-2017-102183,4305.55
JH-15985,Joseph Holt,CA-2015-116638,4297.64
PF-19120,Peter Fuller,US-2015-126977,4228.7
GM-14695,Greg Maxwell,CA-2014-102988,4164.05
CP-12085,Cathy Prescott,US-2017-167402,4164.05
KF-16285,Karen Ferguson,CA-2016-159016,4158.91
GT-14710,Greg Tran,CA-2014-128209,4007.84
CJ-12010,Caroline Jumper,CA-2016-128818,3999.95
NM-18445,Nathan Mautz,CA-2014-164973,3991.98
AA-10315,Alex Avila,CA-2016-103982,3930.07
SD-20485,Shirley Daniels,CA-2015-120782,3812.97
LW-17215,Luke Weiss,CA-2014-116246,3785.29
NP-18700,Nora Preis,CA-2014-168494,3610.85
LA-16780,Laura Armstrong,CA-2016-122903,3504.9
KH-16690,Kristen Hastings,CA-2014-163223,3499.93
MS-17365,Maribeth Schnelling,CA-2016-107104,3406.66
SR-20740,Steven Roelle,CA-2017-165323,3404.5
EB-13840,Ellis Ballard,CA-2015-164301,3393.68
PS-19045,Penelope Sewall,CA-2017-133865,3359.95
RH-19510,Rick Huthwaite,CA-2016-169663,3357.6
KC-16540,Kelly Collister,CA-2016-145625,3347.37
GH-14425,Gary Hwang,CA-2014-144414,3266.38
FH-14365,Fred Hopkins,CA-2015-111829,3149.93
TB-21520,Tracy Blumstein,US-2015-150630,3083.43
KW-16435,Katrina Willman,CA-2015-102491,3080.0
SB-20290,Sean Braxton,US-2014-106992,3059.98
BW-11110,Bart Watters,CA-2017-159366,3059.98
LC-16885,Lena Creighton,US-2015-163825,3050.38
MC-17425,Mark Cousins,CA-2016-133711,3040.0
ME-17320,Maria Etezadi,CA-2016-160717,3023.93
AD-10180,Alan Dominguez,CA-2017-127432,2999.95
JE-15610,Jim Epp,CA-2017-133263,2999.95
SB-20185,Sarah Brown,CA-2015-149846,2973.32
BD-11500,Bradley Drucker,US-2017-105935,2939.93
YC-21895,Yoseph Carroll,CA-2014-119375,2934.33
SV-20365,Seth Vernon,CA-2017-100111,2888.13
SC-20230,Scot Coram,US-2016-126452,2887.06
RM-19675,Robert Marley,CA-2017-145219,2879.95
RP-19390,Resi Pölking,CA-2014-120474,2807.84
SC-20305,Sean Christensen,CA-2015-164777,2803.92
DM-13015,Darrin Martin,CA-2014-160766,2799.96
IM-15055,Ionia McGrath,CA-2016-129630,2799.96
NW-18400,Natalie Webber,US-2015-160857,2799.94
YS-21880,Yana Sorensen,CA-2017-119809,2793.53
SA-20830,Sue Ann Reed,CA-2014-154627,2735.95
MW-18235,Mitch Willingham,CA-2014-117639,2715.93
DM-13345,Denise Monton,CA-2017-157854,2690.97
AS-10285,Alejandro Savely,US-2016-164196,2678.94
LC-16960,Lindsay Castell,CA-2015-111038,2676.67
SF-20200,Sarah Foster,CA-2017-123967,2665.62
AT-10735,Annie Thurman,CA-2015-123113,2625.12
JL-15835,John Lee,CA-2014-127299,2624.99
ED-13885,Emily Ducich,CA-2015-160227,2621.32
GK-14620,Grace Kelly,US-2016-116729,2575.94
BD-11320,Bill Donatelli,CA-2015-120677,2567.84
JE-15715,Joe Elijah,CA-2016-169670,2563.06
SR-20425,Sharelle Roach,CA-2017-134845,2549.99
CL-12565,Clay Ludtke,CA-2015-135580,2548.56
PW-19240,Pierre Wener,CA-2015-162782,2541.98
RW-19540,Rick Wilson,CA-2017-166093,2518.29
JD-16150,Justin Deggeller,CA-2017-168858,2504.74
JK-16090,Juliana Krohn,CA-2017-160885,2479.96
JE-15745,Joel Eaton,CA-2015-139731,2453.43
MT-17815,Meg Tillman,CA-2016-104157,2430.08
HW-14935,Helen Wasserman,CA-2017-121559,2405.2
TT-21070,Ted Trevino,CA-2017-122490,2404.7
HR-14830,Harold Ryan,US-2017-135013,2399.96
HK-14890,Heather Kirkland,US-2017-141677,2399.96
LC-16930,Linda Cazamias,CA-2016-107202,2396.4
AG-10675,Anna Gayman,CA-2016-108987,2396.27
JK-15640,Jim Kriz,CA-2017-168109,2395.2
ES-14020,Erica Smith,US-2017-163300,2357.49
PP-18955,Paul Prost,CA-2014-126683,2348.82
Dp-13240,Dean percer,CA-2015-169796,2321.9
RH-19495,Rick Hansen,CA-2015-124891,2309.65
CM-12655,Corinna Mitchell,US-2016-113677,2279.96
AH-10690,Anna Häberlin,CA-2016-113831,2275.5
TB-21175,Thomas Boland,CA-2017-143567,2249.91
PM-19135,Peter McVee,US-2015-134558,2249.91
TS-21205,Thomas Seio,CA-2017-119284,2239.94
LF-17185,Luke Foster,CA-2014-169019,2177.58
NP-18670,Nora Paige,CA-2017-150091,2154.9
JD-15895,Jonathan Doherty,CA-2016-143805,2104.55
DB-13270,Deborah Brumfield,CA-2016-163804,2079.4
RB-19795,Ross Baird,US-2017-110576,2065.32
MZ-17515,Mary Zewe,CA-2014-128524,2033.58
NF-18385,Natalie Fritzler,CA-2015-147830,2025.36
TW-21025,Tamara Willingham,CA-2015-137113,2003.92
CM-12160,Charles McCrossin,CA-2016-155530,2003.52
LP-17095,Liz Preis,CA-2017-121790,2003.17
DW-13480,Dianna Wilson,CA-2014-131926,2001.86
HG-15025,Hunter Glantz,CA-2014-163748,1999.96
CA-11965,Carol Adams,CA-2016-157791,1999.96
RA-19915,Russell Applegate,CA-2014-134313,1983.97
DG-13300,Deirdre Greer,CA-2017-123372,1979.89
JE-16165,Justin Ellison,CA-2016-114489,1951.84
SP-20620,Stefania Perrino,US-2017-118087,1931.96
ND-18370,Natalie DeCherney,CA-2015-114069,1931.04
