customer_id,customer_name,total_sales
SM-20320,Sean Miller,25043.05
TC-20980,Tamara Chand,19052.22
RB-19360,Raymond Buch,15117.34
TA-21385,Tom Ashbrook,14595.62
AB-10105,Adrian Barton,14473.57
KL-16645,Ken Lonsdale,14175.23
SC-20095,Sanjit Chand,14142.33
HL-15040,Hunter Lopez,12873.3
SE-20110,Sanjit Engle,12209.44
CC-12370,Christopher Conant,12129.07
TS-21370,Todd Sumrall,11891.75
GT-14710,Greg Tran,11820.12
BM-11140,Becky Martin,11789.63
SV-20365,Seth Vernon,11470.95
CJ-12010,Caroline Jumper,11164.97
CL-12565,Clay Ludtke,10880.55
ME-17320,Maria Etezadi,10663.73
KF-16285,Karen Ferguson,10604.27
BS-11365,Bill Shonely,10501.65
EH-13765,Edward Hooks,10310.88
JL-15835,John Lee,9799.92
GT-14635,Grant Thornton,9351.21
HW-14935,Helen Wasserman,9300.25
TB-21400,Tom Boeckenhauer,9133.99
PF-19120,Peter Fuller,9062.86
CM-12385,Christopher Martinez,8954.02
JD-16150,Justin Deggeller,8828.03
JE-15715,Joe Elijah,8697.84
LA-16780,Laura Armstrong,8673.22
PK-19075,Pete Kriz,8646.93
DR-12940,Daniel Raglin,8350.87
NF-18385,Natalie Fritzler,8322.83
KD-16270,Karen Daniels,8282.36
NC-18535,Nick Crebassa,8241.74
HM-14860,Harry Marie,8236.76
KD-16495,Keith Dawkins,8181.26
SB-20290,Sean Braxton,8057.89
ZC-21910,Zuschuss Carroll,8025.71
JH-15985,Joseph Holt,7955.0
NP-18700,Nora Preis,7903.18
AH-10690,Anna Häberlin,7888.29
AB-10060,Adam Bellavance,7755.62
JE-15610,Jim Epp,7754.98
JW-15220,Jane Waco,7721.71
LC-16885,Lena Creighton,7663.13
JM-15865,John Murray,7625.08
JD-15895,Jonathan Doherty,7610.86
PO-18850,Patrick O'Brill,7473.83
MS-17365,Maribeth Schnelling,7443.69
RW-19540,Rick Wilson,7397.4
BM-11650,Brian Moss,7294.19
PP-18955,Paul Prost,7252.61
NW-18400,Natalie Webber,7234.01
Dp-13240,Dean percer,7198.76
FH-14365,Fred Hopkins,6987.2
RH-19510,Rick Huthwaite,6979.18
PS-19045,Penelope Sewall,6843.63
BB-11545,Brenda Bowman,6765.73
JE-15745,Joel Eaton,6760.82
YS-21880,Yana Sorensen,6720.44
AR-10540,Andy Reiter,6608.45
DR-12880,Dan Reichenbach,6528.03
GK-14620,Grace Kelly,6497.27
JA-15970,Joseph Airdo,6491.03
NM-18445,Nathan Mautz,6459.34
VD-21670,Valerie Dominguez,6442.25
SB-20185,Sarah Brown,6411.0
JG-15160,James Galang,6366.39
DM-13015,Darrin Martin,6345.1
CM-12655,Corinna Mitchell,6339.56
MJ-17740,Max Jones,6320.75
BH-11710,Brosina Hoffman,6255.35
RL-19615,Rob Lucas,6234.91
WB-21850,William Brown,6160.1
VW-21775,Victoria Wilson,6134.04
SD-20485,Shirley Daniels,6121.11
QJ-19255,Quincy Jones,6108.34
AD-10180,Alan Dominguez,6106.88
CB-12025,Cassandra Brandow,6076.14
GM-14695,Greg Maxwell,6049.97
SC-20380,Shahid Collister,5992.54
KH-16690,Kristen Hastings,5990.8
RM-19675,Robert Marley,5979.1
KH-16510,Keith Herrera,5952.86
BF-11170,Ben Ferrer,5907.97
CP-12340,Christine Phan,5888.28
BD-11320,Bill Donatelli,5718.52
CS-12505,Cindy Stewart,5690.06
AM-10705,Anne McFarland,5664.02
RB-19795,Ross Baird,5633.32
KM-16375,Katherine Murray,5620.19
AA-10315,Alex Avila,5563.56
SM-20950,Suzanne McNair,5563.39
NP-18325,Naresj Patel,5529.62
AC-10450,Amy Cox,5527.85
MH-18115,Mick Hernandez,5503.09
DP-13390,Dennis Pardue,5480.72
EP-13915,Emily Phan,5478.06
YC-21895,Yoseph Carroll,5454.35
SP-20620,Stefania Perrino,5440.32
LW-17215,Luke Weiss,5420.51
CP-12085,Cathy Prescott,5402.25
TS-21205,Thomas Seio,5371.09
TT-21460,Tonja Turnell,5364.81
MW-18220,Mitch Webber,5341.9
TP-21415,Tom Prescott,5329.0
TW-21025,Tamara Willingham,5278.83
DW-13480,Dianna Wilson,5271.63
MW-18235,Mitch Willingham,5253.88
HR-14830,Harold Ryan,5248.79
SC-20725,Steven Cartwright,5226.21
RP-19390,Resi Pölking,5153.08
LR-16915,Lena Radford,5142.89
MP-18175,Mike Pelletier,5087.92
AA-10645,Anna Andreadi,5086.94
IL-15100,Ivan Liston,5040.74
KL-16555,Kelly Lampkin,5016.49
LB-16795,Laurel Beltran,4985.68
DH-13075,Dave Hallsten,4932.87
IM-15070,Irene Maddox,4930.47
TT-21070,Ted Trevino,4915.6
KM-16720,Kunst Miller,4909.47
PO-19180,Philisse Overcash,4893.04
HK-14890,Heather Kirkland,4877.78
AJ-10780,Anthony Jacobs,4867.34
JK-15730,Joe Kamberova,4867.2
AH-10210,Alan Hwang,4805.34
DK-13225,Dean Katz,4802.39
RA-19915,Russell Applegate,4793.54
SA-20830,Sue Ann Reed,4767.34
JK-15640,Jim Kriz,4760.43
BW-11110,Bart Watters,4750.36
TB-21520,Tracy Blumstein,4737.49
GB-14575,Giulietta Baptist,4716.29
RB-19465,Rick Bensley,4715.47
ES-14080,Erin Smith,4657.92
DB-13270,Deborah Brumfield,4655.9
KT-16480,Kean Thornton,4642.09
SC-20050,Sample Company A,4624.57
EM-14140,Eugene Moren,4588.44
DB-13060,Dave Brooks,4531.65
AR-10825,Anthony Rawles,4523.34
AG-10900,Arthur Gainer,4510.8
AJ-10795,Anthony Johnson,4501.39
LC-16930,Linda Cazamias,4492.95
SC-20770,Stewart Carmichael,4492.66
TP-21130,Theone Pippenger,4454.06
MC-17425,Mark Cousins,4432.14
JK-15205,Jamie Kunitz,4427.14
KW-16435,Katrina Willman,4416.52
BD-11500,Bradley Drucker,4411.24
AI-10855,Arianne Irving,4375.79
SC-20230,Scot Coram,4371.96
EB-13840,Ellis Ballard,4358.13
GZ-14470,Gary Zandusky,4355.15
SR-20740,Steven Roelle,4345.89
ND-18370,Natalie DeCherney,4326.14
MA-17560,Matt Abelman,4299.16
SP-20860,Sung Pak,4282.94
DK-12895,Dana Kaydos,4282.18
RD-19480,Rick Duston,4272.93
TC-21295,Toby Carlisle,4266.81
AS-10225,Alan Schoenberger,4260.78
FH-14275,Frank Hawley,4256.27
CB-12535,Claudia Bergmann,4246.46
TH-21550,Tracy Hopkins,4234.1
BE-11335,Bill Eplett,4204.68
JF-15565,Jill Fjeld,4198.33
GH-14425,Gary Hwang,4172.85
RS-19765,Roland Schwarz,4159.77
MY-18295,Muhammed Yedwab,4152.7
PM-19135,Peter McVee,4115.66
SV-20785,Stewart Visinsky,4105.31
DM-13345,Denise Monton,4074.47
FP-14320,Frank Preis,4046.75
SP-20920,Susan Pistek,3990.69
CM-12715,Craig Molinari,3984.45
MP-17965,Michael Paige,3983.64
SC-20305,Sean Christensen,3979.07
SJ-20125,Sanjit Jacobs,3949.66
LF-17185,Luke Foster,3930.51
PW-19240,Pierre Wener,3922.42
GA-14515,George Ashbrook,3919.78
KH-16630,Ken Heidel,3918.97
CC-12220,Chris Cortes,3913.42
DB-13555,Dorothy Badders,3908.8
NP-18670,Nora Paige,3908.4
KC-16540,Kelly Collister,3908.26
FC-14335,Fred Chung,3889.37
BS-11380,Bill Stewart,3887.83
JS-15880,John Stevenson,3868.02
RA-19885,Ruben Ausman,3832.31
AT-10735,Annie Thurman,3831.86
OT-18730,Olvera Toch,3818.62
RO-19780,Rose O'Brian,3815.48
MC-17845,Michael Chen,3805.71
MM-17920,Michael Moore,3794.08
CA-11965,Carol Adams,3789.72
MG-17650,Matthew Grinstein,3785.28
MD-17350,Maribeth Dona,3766.38
JK-15625,Jim Karlsson,3760.03
JK-16090,Juliana Krohn,3747.67
FM-14290,Frank Merwin,3736.2
SC-20260,Scott Cohen,3729.79
HG-15025,Hunter Glantz,3690.28
