customer_name,total_sales,sales_rank
Sean Miller,25043.05,1
Tamara Chand,19052.22,2
Raymond Buch,15117.34,3
Tom Ashbrook,14595.62,4
Adrian Barton,14473.57,5
Ken Lonsdale,14175.23,6
Sanjit Chand,14142.33,7
Hunter Lopez,12873.3,8
Sanjit Engle,12209.44,9
Christopher Conant,12129.07,10
Todd Sumrall,11891.75,11
Greg Tran,11820.12,12
Becky Martin,11789.63,13
Seth Vernon,11470.95,14
Caroline Jumper,11164.97,15
Clay Ludtke,10880.55,16
Maria Etezadi,10663.73,17
Karen Ferguson,10604.27,18
Bill Shonely,10501.65,19
Edward Hooks,10310.88,20
John Lee,9799.92,21
Grant Thornton,9351.21,22
Helen Wasserman,9300.25,23
Tom Boeckenhauer,9133.99,24
Peter Fuller,9062.86,25
Christopher Martinez,8954.02,26
Justin Deggeller,8828.03,27
Joe Elijah,8697.84,28
Laura Armstrong,8673.22,29
Pete Kriz,8646.93,30
Daniel Raglin,8350.87,31
Natalie Fritzler,8322.83,32
Karen Daniels,8282.36,33
Nick Crebassa,8241.74,34
Harry Marie,8236.76,35
Keith Dawkins,8181.26,36
Sean Braxton,8057.89,37
Zuschuss Carroll,8025.71,38
Joseph Holt,7955.0,39
Nora Preis,7903.18,40
Anna Häberlin,7888.29,41
Adam Bellavance,7755.62,42
Jim Epp,7754.98,43
Jane Waco,7721.71,44
Lena Creighton,7663.13,45
John Murray,7625.08,46
Jonathan Doherty,7610.86,47
Patrick O'Brill,7473.83,48
Maribeth Schnelling,7443.69,49
Rick Wilson,7397.4,50
Brian Moss,7294.19,51
Paul Prost,7252.61,52
Natalie Webber,7234.01,53
Dean percer,7198.76,54
Fred Hopkins,6987.2,55
Rick Huthwaite,6979.18,56
Penelope Sewall,6843.63,57
Brenda Bowman,6765.73,58
Joel Eaton,6760.82,59
Yana Sorensen,6720.44,60
Andy Reiter,6608.45,61
Dan Reichenbach,6528.03,62
Grace Kelly,6497.27,63
Joseph Airdo,6491.03,64
Nathan Mautz,6459.34,65
Valerie Dominguez,6442.25,66
Sarah Brown,6411.0,67
James Galang,6366.39,68
Darrin Martin,6345.1,69
Corinna Mitchell,6339.56,70
Max Jones,6320.75,71
Brosina Hoffman,6255.35,72
Rob Lucas,6234.91,73
William Brown,6160.1,74
Victoria Wilson,6134.04,75
Shirley Daniels,6121.11,76
Quincy Jones,6108.34,77
Alan Dominguez,6106.88,78
Cassandra Brandow,6076.14,79
Greg Maxwell,6049.97,80
Shahid Collister,5992.54,81
Kristen Hastings,5990.8,82
Robert Marley,5979.1,83
Keith Herrera,5952.86,84
Ben Ferrer,5907.97,85
Christine Phan,5888.28,86
Bill Donatelli,5718.52,87
Cindy Stewart,5690.06,88
Anne McFarland,5664.02,89
Ross Baird,5633.32,90
Katherine Murray,5620.19,91
Alex Avila,5563.56,92
Suzanne McNair,5563.39,93
Naresj Patel,5529.62,94
Amy Cox,5527.85,95
Mick Hernandez,5503.09,96
Dennis Pardue,5480.72,97
Emily Phan,5478.06,98
Yoseph Carroll,5454.35,99
Stefania Perrino,5440.32,100
Luke Weiss,5420.51,101
Cathy Prescott,5402.25,102
Thomas Seio,5371.09,103
