customer_name,total_sales
Sean Miller,25043.05
Tamara Chand,19052.22
Raymond Buch,15117.34
Tom Ashbrook,14595.62
Adrian Barton,14473.57
Ken Lonsdale,14175.23
Sanjit Chand,14142.33
Hunter Lopez,12873.3
Sanjit Engle,12209.44
Christopher Conant,12129.07
Todd Sumrall,11891.75
Greg Tran,11820.12
Becky Martin,11789.63
Seth Vernon,11470.95
Caroline Jumper,11164.97
Clay Ludtke,10880.55
Maria Etezadi,10663.73
Karen Ferguson,10604.27
Bill Shonely,10501.65
Edward Hooks,10310.88
John Lee,9799.92
Grant Thornton,9351.21
Helen Wasserman,9300.25
Tom Boeckenhauer,9133.99
Peter Fuller,9062.86
Christopher Martinez,8954.02
Justin Deggeller,8828.03
Joe Elijah,8697.84
Laura Armstrong,8673.22
Pete Kriz,8646.93
Daniel Raglin,8350.87
Natalie Fritzler,8322.83
Karen Daniels,8282.36
Nick Crebassa,8241.74
Harry Marie,8236.76
Keith Dawkins,8181.26
Sean Braxton,8057.89
Zuschuss Carroll,8025.71
Joseph Holt,7955.0
Nora Preis,7903.18
Anna Häberlin,7888.29
Adam Bellavance,7755.62
Jim Epp,7754.98
Jane Waco,7721.71
Lena Creighton,7663.13
John Murray,7625.08
Jonathan Doherty,7610.86
Patrick O'Brill,7473.83
Maribeth Schnelling,7443.69
Rick Wilson,7397.4
Brian Moss,7294.19
Paul Prost,7252.61
Natalie Webber,7234.01
Dean percer,7198.76
Fred Hopkins,6987.2
Rick Huthwaite,6979.18
Penelope Sewall,6843.63
Brenda Bowman,6765.73
Joel Eaton,6760.82
Yana Sorensen,6720.44
Andy Reiter,6608.45
Dan Reichenbach,6528.03
Grace Kelly,6497.27
Joseph Airdo,6491.03
Nathan Mautz,6459.34
Valerie Dominguez,6442.25
Sarah Brown,6411.0
James Galang,6366.39
Darrin Martin,6345.1
Corinna Mitchell,6339.56
Max Jones,6320.75
Brosina Hoffman,6255.35
Rob Lucas,6234.91
William Brown,6160.1
Victoria Wilson,6134.04
Shirley Daniels,6121.11
Quincy Jones,6108.34
Alan Dominguez,6106.88
Cassandra Brandow,6076.14
Greg Maxwell,6049.97
Shahid Collister,5992.54
Kristen Hastings,5990.8
Robert Marley,5979.1
Keith Herrera,5952.86
Ben Ferrer,5907.97
Christine Phan,5888.28
Bill Donatelli,5718.52
Cindy Stewart,5690.06
Anne McFarland,5664.02
Ross Baird,5633.32
Katherine Murray,5620.19
Alex Avila,5563.56
Suzanne McNair,5563.39
Naresj Patel,5529.62
Amy Cox,5527.85
Mick Hernandez,5503.09
Dennis Pardue,5480.72
Emily Phan,5478.06
Yoseph Carroll,5454.35
Stefania Perrino,5440.32
Luke Weiss,5420.51
Cathy Prescott,5402.25
Thomas Seio,5371.09
Tonja Turnell,5364.81
Mitch Webber,5341.9
Tom Prescott,5329.0
Tamara Willingham,5278.83
Dianna Wilson,5271.63
Mitch Willingham,5253.88
Harold Ryan,5248.79
Steven Cartwright,5226.21
Resi Pölking,5153.08
Lena Radford,5142.89
Mike Pelletier,5087.92
Anna Andreadi,5086.94
Ivan Liston,5040.74
Kelly Lampkin,5016.49
Laurel Beltran,4985.68
Dave Hallsten,4932.87
Irene Maddox,4930.47
Ted Trevino,4915.6
Kunst Miller,4909.47
Philisse Overcash,4893.04
Heather Kirkland,4877.78
Anthony Jacobs,4867.34
Joe Kamberova,4867.2
Alan Hwang,4805.34
Dean Katz,4802.39
Russell Applegate,4793.54
Sue Ann Reed,4767.34
Jim Kriz,4760.43
Bart Watters,4750.36
Tracy Blumstein,4737.49
Giulietta Baptist,4716.29
Rick Bensley,4715.47
Erin Smith,4657.92
Deborah Brumfield,4655.9
Kean Thornton,4642.09
Sample Company A,4624.57
Eugene Moren,4588.44
Dave Brooks,4531.65
Anthony Rawles,4523.34
Arthur Gainer,4510.8
Anthony Johnson,4501.39
Linda Cazamias,4492.95
Stewart Carmichael,4492.66
Theone Pippenger,4454.06
Mark Cousins,4432.14
Jamie Kunitz,4427.14
Katrina Willman,4416.52
Bradley Drucker,4411.24
Arianne Irving,4375.79
Scot Coram,4371.96
Ellis Ballard,4358.13
Gary Zandusky,4355.15
Steven Roelle,4345.89
Natalie DeCherney,4326.14
Matt Abelman,4299.16
Sung Pak,4282.94
Dana Kaydos,4282.18
Rick Duston,4272.93
Toby Carlisle,4266.81
Alan Schoenberger,4260.78
Frank Hawley,4256.27
Claudia Bergmann,4246.46
Tracy Hopkins,4234.1
Bill Eplett,4204.68
Jill Fjeld,4198.33
Gary Hwang,4172.85
Roland Schwarz,4159.77
Muhammed Yedwab,4152.7
Peter McVee,4115.66
Stewart Visinsky,4105.31
Denise Monton,4074.47
Frank Preis,4046.75
Susan Pistek,3990.69
Craig Molinari,3984.45
Michael Paige,3983.64
Sean Christensen,3979.07
Sanjit Jacobs,3949.66
Luke Foster,3930.51
Pierre Wener,3922.42
George Ashbrook,3919.78
Ken Heidel,3918.97
Chris Cortes,3913.42
Dorothy Badders,3908.8
Nora Paige,3908.4
Kelly Collister,3908.26
Fred Chung,3889.37
Bill Stewart,3887.83
John Stevenson,3868.02
Ruben Ausman,3832.31
Annie Thurman,3831.86
Olvera Toch,3818.62
Rose O'Brian,3815.48
Michael Chen,3805.71
Michael Moore,3794.08
Carol Adams,3789.72
Matthew Grinstein,3785.28
Maribeth Dona,3766.38
Jim Karlsson,3760.03
Juliana Krohn,3747.67
Frank Merwin,3736.2
Scott Cohen,3729.79
Hunter Glantz,3690.28
Ben Peterman,3675.86
Liz Preis,3653.4
Christopher Schild,3651.86
Ed Braxton,3644.98
Jeremy Pistek,3635.59
Sam Zeldin,3625.33
Rick Hansen,3621.38
Thomas Boland,3589.3
Gary McGarr,3582.82
Dionis Lloyd,3539.32
Erica Smith,3510.46
Robert Waldorf,3495.65
Anna Gayman,3489.04
Emily Ducich,3484.92
Pauline Webber,3454.92
Sarah Foster,3422.79
Frank Carlisle,3418.74
Sally Hughsby,3406.84
Sandra Glassco,3406.58
Trudy Schmidt,3368.09
Sam Craven,3362.96
Victoria Pisteka,3360.53
Doug Jacobs,3356.4
Dianna Vittorini,3341.59
Sylvia Foulston,3336.54
Dan Campbell,3336.17
Arthur Prichep,3323.56
Dennis Kane,3318.49
Katharine Harms,3312.86
Randy Ferguson,3309.15
Rick Reed,3302.26
Brian Dahlen,3288.47
Brian Stugart,3288.11
Rob Williams,3279.75
Daniel Lacy,3272.2
Damala Kotsonis,3256.48
Adam Shillingsburg,3255.31
Jack O'Briant,3254.95
Adam Hart,3250.34
Henry Goldwyn,3247.64
Lindsay Castell,3246.63
Carol Triggs,3241.9
Edward Becker,3236.31
Sharelle Roach,3233.48
Lindsay Williams,3230.31
Ricardo Sperren,3221.29
Alejandro Savely,3214.24
Mark Packer,3206.13
Christine Sundaresam,3202.16
Brian Thompson,3196.75
Deirdre Greer,3195.82
Jeremy Lonsdale,3173.87
Greg Matthias,3163.63
Janet Martin,3159.12
Chloris Kastensmidt,3154.86
Karen Bern,3152.62
Maxwell Schwartz,3144.68
Ruben Dartt,3133.92
Tanja Norvell,3130.22
Steve Nguyen,3127.96
Speros Goranitis,3124.83
Katherine Hughes,3100.61
Patrick Gardner,3086.91
Eugene Hildebrand,3082.65
Gary Mitchum,3078.62
Eugene Barchas,3071.13
Mike Gockenbach,3061.54
Toby Gnade,3058.37
Kean Takahito,3057.1
Shahid Shariari,3056.81
Sara Luxemburg,3053.01
Aaron Smayling,3050.69
Cynthia Arntzen,3041.57
Carlos Soltero,3036.55
Lindsay Shagiari,2988.67
Michelle Huthwaite,2984.95
Frank Atkinson,2984.05
David Bremer,2973.09
Noel Staavos,2964.82
Tamara Manning,2955.23
Christine Kargatis,2945.32
Thea Hudgings,2942.77
Liz Thompson,2936.25
Becky Castell,2933.68
Julie Kriz,2932.48
Shaun Weien,2921.54
Maris LaWare,2921.5
Rob Dowd,2912.89
Craig Yedwab,2900.03
