customer_name,highest_order_value
Sean Miller,23661.23
Tamara Chand,18336.74
Raymond Buch,14052.48
Tom Ashbrook,13716.46
Becky Martin,10539.9
Hunter Lopez,10499.97
Sanjit Chand,9900.19
Adrian Barton,9892.74
Bill Shonely,9135.19
Sanjit Engle,8805.04
Christopher Conant,8539.02
Ken Lonsdale,8319.29
Grant Thornton,8167.42
Peter Fuller,7678.23
Seth Vernon,7359.92
Tom Boeckenhauer,6999.96
Christopher Martinez,6412.77
Greg Tran,6160.62
Karen Daniels,6125.82
Keith Dawkins,5850.51
Andy Reiter,5802.7
Sean Braxton,5579.94
Daniel Raglin,5549.41
Todd Sumrall,5509.14
Jane Waco,5325.88
Nick Crebassa,5282.65
Cindy Stewart,5016.55
Edward Hooks,4940.87
Harry Marie,4909.61
Caroline Jumper,4835.98
Max Jones,4823.09
Nathan Mautz,4807.37
Joseph Airdo,4749.33
Dennis Pardue,4685.08
Nora Preis,4630.51
Cathy Prescott,4619.33
Fred Hopkins,4607.27
Patrick O'Brill,4590.34
John Murray,4548.81
Helen Wasserman,4472.32
Adam Bellavance,4438.69
Tom Prescott,4416.17
Alex Avila,4406.07
Quincy Jones,4404.9
Maria Etezadi,4374.88
Pete Kriz,4337.64
Anna Häberlin,4317.3
Joseph Holt,4297.64
Darrin Martin,4283.79
Greg Maxwell,4251.92
Tamara Willingham,4210.65
Natalie Fritzler,4190.21
Alan Dominguez,4189.38
Karen Ferguson,4173.81
Jim Kriz,4150.97
Maribeth Schnelling,4104.17
Shirley Daniels,3999.7
Laura Armstrong,3963.57
Keith Herrera,3955.51
Sarah Brown,3862.1
Yana Sorensen,3859.49
Luke Weiss,3785.29
Kristen Hastings,3769.56
Katrina Willman,3747.93
Dianna Wilson,3745.63
Brosina Hoffman,3714.3
Giulietta Baptist,3631.96
Ross Baird,3629.94
Susan Pistek,3588.1
Mitch Webber,3519.37
Steven Roelle,3505.84
Bill Eplett,3480.96
Christine Phan,3455.13
Rick Hansen,3419.87
Rick Wilson,3397.73
Ellis Ballard,3393.68
Naresj Patel,3385.61
Natalie Webber,3384.52
Rick Huthwaite,3384.45
Penelope Sewall,3359.95
Kelly Collister,3354.98
Scot Coram,3339.12
Mitch Willingham,3333.9
Peter McVee,3332.97
Tracy Blumstein,3329.43
Ted Trevino,3321.28
Thomas Boland,3291.07
Gary Hwang,3290.52
Clay Ludtke,3251.34
Sample Company A,3247.16
Mark Cousins,3236.41
Lena Creighton,3184.36
Jim Epp,3165.74
Yoseph Carroll,3116.49
Tonja Turnell,3083.94
Bart Watters,3059.98
Brian Moss,3013.78
Bradley Drucker,3002.65
Dan Reichenbach,2971.79
Robert Marley,2970.43
Thomas Seio,2942.78
Erica Smith,2911.78
Sung Pak,2904.57
Doug Jacobs,2888.52
Grace Kelly,2875.54
Resi Pölking,2854.48
Katherine Murray,2846.22
Ionia McGrath,2824.23
Sean Christensen,2803.92
Deborah Brumfield,2781.77
Denise Monton,2747.25
Heather Kirkland,2737.67
Sue Ann Reed,2735.95
Joel Eaton,2717.31
John Lee,2692.33
Sarah Foster,2690.74
Alejandro Savely,2678.94
Lindsay Castell,2676.67
Randy Ferguson,2673.69
Justin Ellison,2657.81
Luke Foster,2656.72
Cassandra Brandow,2645.02
Annie Thurman,2643.06
Emily Ducich,2621.32
Anna Gayman,2620.94
Sharelle Roach,2613.31
Anthony Jacobs,2583.19
George Ashbrook,2572.5
Bill Donatelli,2567.84
Jeremy Lonsdale,2563.31
Joe Elijah,2563.06
Sandra Glassco,2562.17
Stewart Carmichael,2550.59
Pierre Wener,2541.98
Dana Kaydos,2531.88
Justin Deggeller,2521.48
Ken Heidel,2503.82
Meg Tillman,2503.47
Juliana Krohn,2479.96
Stefania Perrino,2457.14
Dean percer,2437.67
Harold Ryan,2399.96
Linda Cazamias,2396.4
Dan Campbell,2382.93
Frank Carlisle,2377.56
Alejandro Grove,2374.73
Shahid Collister,2361.52
Suzanne McNair,2358.67
Paul Prost,2354.98
Linda Southworth,2331.84
Rick Reed,2304.37
Lauren Leatherbury,2298.9
Corinna Mitchell,2294.9
Theone Pippenger,2283.43
Nora Paige,2258.28
Ann Chong,2255.87
Mike Pelletier,2233.02
Valerie Dominguez,2220.06
Alan Schoenberger,2216.8
Philisse Overcash,2165.12
Mary Zewe,2158.69
Charles Crestani,2147.34
Jonathan Doherty,2145.25
Anne McFarland,2116.51
Liz Preis,2113.57
Bradley Talbott,2110.72
Gary Zandusky,2073.35
David Flashing,2067.8
Beth Thompson,2061.01
Deirdre Greer,2059.85
Lena Radford,2049.82
Eleni McCrary,2048.86
Jack Garza,2046.35
Thea Hudgings,2027.19
Russell Applegate,2027.14
Jamie Kunitz,2026.78
Brenda Bowman,2017.32
George Zrebassa,2012.3
Fred Chung,2011.9
Emily Phan,2007.9
Charles McCrossin,2003.52
Hunter Glantz,2003.12
Carol Adams,1999.96
Irene Maddox,1979.89
Anna Andreadi,1971.46
Scott Cohen,1966.56
Robert Waldorf,1958.54
Natalie DeCherney,1952.81
Michael Paige,1949.31
James Galang,1941.81
William Brown,1937.92
Bill Stewart,1915.62
Gary McGarr,1897.92
Victoria Pisteka,1893.79
Kunst Miller,1891.32
Henry Goldwyn,1889.99
Toby Carlisle,1885.27
Craig Carroll,1884.14
Kelly Lampkin,1883.72
Brian Stugart,1873.61
Clay Rozendal,1872.93
Ben Ferrer,1843.4
Kean Nguyen,1840.04
