customer_id,customer_name,segment,country,city,state,postal_code,region,total_orders,total_sales,total_profit,last_order_date,loyalty_tier,email,record_updated_at
TP-21565,Tracy Poddar,Home Office,United States,Eugene,Oregon,97405,West,7,2144.31,145.2,2020-01-15,SILVER,tracy.poddar@example.com,2020-01-15 06:30:00
CY-12745,Craig Yedwab,Corporate,United States,Chicago,Illinois,60610,Central,8,2900.03,60.65,2017-10-31,GOLD,craig.yedwab@example.com,2020-01-15 06:30:00
EP-20133,Elena Petrova,Corporate,United States,Houston,Texas,77041,Central,4,5800.79,536.95,2020-01-15,PLATINUM,elena.petrova@example.com,2020-01-15 06:30:00
KB-16405,Katrina Bavinger,Home Office,United States,New York City,New York,10035,East,5,1415.34,279.03,2020-01-15,SILVER,katrina.bavinger@example.com,2020-01-15 06:30:00
SS-20410,Shahid Shariari,Consumer,United States,Los Angeles,California,90008,West,8,4459.17,-1292.29,2020-01-15,GOLD,shahid.shariari@example.com,2020-01-15 06:30:00
DH-13675,Duane Huffman,Home Office,United States,Miami,Florida,33180,South,7,1236.05,116.93,2020-01-15,SILVER,duane.huffman@example.com,2020-01-15 06:30:00
CM-12115,Chad McGuire,Consumer,United States,New York City,New York,10011,East,4,1661.61,409.07,2017-12-22,SILVER,chad.mcguire@example.com,2020-01-15 06:30:00
BW-11065,Barry Weirich,Consumer,United States,Denver,Colorado,80202,West,7,466.18,-59.72,2020-01-15,BRONZE,barry.weirich@example.com,2020-01-15 06:30:00
SU-20665,Stephanie Ulpright,Home Office,United States,Chicago,Illinois,60610,Central,7,2595.36,763.47,2017-12-10,GOLD,stephanie.ulpright@example.com,2020-01-15 06:30:00
AM-20224,Adam Mercer,Home Office,United States,New York City,New York,10024,East,7,8455.27,-212.7,2020-01-15,PLATINUM,adam.mercer@example.com,2020-01-15 06:30:00
BW-11110,Bart Watters,Corporate,United States,Austin,Texas,78701,Central,10,5091.62,1249.52,2020-01-15,PLATINUM,bart.watters@example.com,2020-01-15 06:30:00
PF-19225,Phillip Flathmann,Consumer,United States,Denver,Colorado,80202,West,8,2500.84,677.9,2020-01-15,GOLD,phillip.flathmann@example.com,2020-01-15 06:30:00
SL-20155,Sara Luxemburg,Home Office,United States,Durham,North Carolina,27707,South,8,4160.01,752.81,2020-01-15,GOLD,sara.luxemburg@example.com,2020-01-15 06:30:00
AR-10510,Andrew Roberts,Consumer,United States,Philadelphia,Pennsylvania,19134,East,6,319.49,53.71,2020-01-15,BRONZE,andrew.roberts@example.com,2020-01-15 06:30:00
RO-19780,Rose O'Brian,Corporate,United States,Houston,Texas,77070,Central,9,5767.9,-1290.41,2020-01-15,PLATINUM,rose.obrian@example.com,2020-01-15 06:30:00
JK-15730,Joe Kamberova,Consumer,United States,Des Plaines,Illinois,60016,Central,11,5258.07,65.61,2020-01-15,PLATINUM,joe.kamberova@example.com,2020-01-15 06:30:00
NB-20217,Nora Blake,Corporate,United States,Atlanta,Georgia,30318,South,6,6128.86,1098.98,2020-01-15,PLATINUM,nora.blake@example.com,2020-01-15 06:30:00
CG-12040,Catherine Glotzbach,Home Office,United States,Philadelphia,Pennsylvania,19120,East,6,904.47,86.51,2017-11-11,BRONZE,catherine.glotzbach@example.com,2020-01-15 06:30:00
CD-11980,Carol Darley,Corporate,United States,Tyler,Texas,75701,Central,7,684.68,-237.49,2020-01-15,BRONZE,carol.darley@example.com,2020-01-15 06:30:00
KB-16240,Karen Bern,Corporate,United States,Saint Cloud,Minnesota,56301,Central,11,3342.77,991.29,2020-01-15,GOLD,karen.bern@example.com,2020-01-15 06:30:00
SC-20095,Sanjit Chand,Consumer,United States,Costa Mesa,California,92627,West,13,16545.55,6039.67,2020-01-15,PLATINUM,sanjit.chand@example.com,2020-01-15 06:30:00
RW-19540,Rick Wilson,Corporate,United States,Boston,Massachusetts,02108,East,8,10981.05,2032.81,2020-01-15,PLATINUM,rick.wilson@example.com,2020-01-15 06:30:00
JK-16090,Juliana Krohn,Consumer,United States,Louisville,Kentucky,40214,South,5,4702.34,791.24,2020-01-15,GOLD,juliana.krohn@example.com,2020-01-15 06:30:00
KD-16495,Keith Dawkins,Corporate,United States,Seattle,Washington,98101,West,13,9092.78,3495.99,2020-01-15,PLATINUM,keith.dawkins@example.com,2020-01-15 06:30:00
CV-12805,Cynthia Voltz,Corporate,United States,Austin,Texas,78745,Central,10,3231.35,132.28,2020-01-15,GOLD,cynthia.voltz@example.com,2020-01-15 06:30:00
SO-20287,Sana Okafor,Home Office,United States,Los Angeles,California,90036,West,8,3155.37,572.7,2020-01-15,GOLD,sana.okafor@example.com,2020-01-15 06:30:00
MC-17275,Marc Crier,Consumer,United States,Pasco,Washington,99301,West,10,3659.71,498.09,2020-01-15,GOLD,marc.crier@example.com,2020-01-15 06:30:00
LS-16945,Linda Southworth,Corporate,United States,Dallas,Texas,75220,Central,9,3108.87,-335.53,2020-01-15,GOLD,linda.southworth@example.com,2020-01-15 06:30:00
FL-20147,Freya Larsen,Consumer,United States,Phoenix,Arizona,85023,West,8,1639.93,455.06,2020-01-15,SILVER,freya.larsen@example.com,2020-01-15 06:30:00
MC-18100,Mick Crebagga,Consumer,United States,Philadelphia,Pennsylvania,19140,East,10,2218.98,-64.17,2017-11-19,SILVER,mick.crebagga@example.com,2020-01-15 06:30:00
FW-20182,Felix Weber,Home Office,United States,Chicago,Illinois,60610,Central,11,5324.13,711.74,2020-01-15,PLATINUM,felix.weber@example.com,2020-01-15 06:30:00
SW-20245,Scot Wooten,Consumer,United States,Seattle,Washington,98101,West,11,1715.38,-22.93,2020-01-15,SILVER,scot.wooten@example.com,2020-01-15 06:30:00
AR-10405,Allen Rosenblatt,Corporate,United States,Austin,Texas,78701,Central,8,2870.88,-109.72,2020-01-15,GOLD,allen.rosenblatt@example.com,2020-01-15 06:30:00
CC-20273,Cleo Costa,Consumer,United States,Atlanta,Georgia,30318,South,3,1670.69,417.41,2020-01-15,SILVER,cleo.costa@example.com,2020-01-15 06:30:00
JB-16000,Joy Bell-,Consumer,United States,Boston,Massachusetts,02108,East,9,815.18,160.72,2020-01-15,BRONZE,joy.bell@example.com,2020-01-15 06:30:00
DA-20084,Dev Ali,Consumer,United States,Philadelphia,Pennsylvania,19140,East,10,5290.66,644.67,2020-01-15,PLATINUM,dev.ali@example.com,2020-01-15 06:30:00
BD-11770,Bryan Davis,Consumer,United States,Austin,Texas,78701,Central,10,891.44,169.66,2020-01-15,BRONZE,bryan.davis@example.com,2020-01-15 06:30:00
GK-14620,Grace Kelly,Corporate,United States,Los Angeles,California,90049,West,13,8172.14,1535.04,2020-01-15,PLATINUM,grace.kelly@example.com,2020-01-15 06:30:00
RD-19660,Robert Dilbeck,Home Office,United States,Miami,Florida,33101,South,6,3576.41,968.15,2020-01-15,GOLD,robert.dilbeck@example.com,2020-01-15 06:30:00
SK-19990,Sally Knutson,Consumer,United States,New York City,New York,10024,East,4,1256.5,225.59,2020-01-15,SILVER,sally.knutson@example.com,2020-01-15 06:30:00
AR-10825,Anthony Rawles,Corporate,United States,Seattle,Washington,98101,West,9,6915.07,702.61,2020-01-15,PLATINUM,anthony.rawles@example.com,2020-01-15 06:30:00
LG-20196,Leo Grant,Corporate,United States,Philadelphia,Pennsylvania,19140,East,4,6325.54,444.58,2020-01-15,PLATINUM,leo.grant@example.com,2020-01-15 06:30:00
DP-13165,David Philippe,Consumer,United States,New York City,New York,10035,East,3,1497.61,-49.24,2020-01-15,SILVER,david.philippe@example.com,2020-01-15 06:30:00
SG-20605,Speros Goranitis,Consumer,United States,New York City,New York,10009,East,7,3662.29,591.32,2020-01-15,GOLD,speros.goranitis@example.com,2020-01-15 06:30:00
HM-20140,Hugo Muller,Home Office,United States,Philadelphia,Pennsylvania,19140,East,1,7817.97,-23.15,2020-01-15,PLATINUM,hugo.muller@example.com,2020-01-15 06:30:00
AG-10300,Aleksandra Gannaway,Corporate,United States,Los Angeles,California,90049,West,7,564.4,71.96,2020-01-15,BRONZE,aleksandra.gannaway@example.com,2020-01-15 06:30:00
PG-18820,Patrick Gardner,Consumer,United States,Bakersfield,California,93309,West,15,4435.75,194.23,2020-01-15,GOLD,patrick.gardner@example.com,2020-01-15 06:30:00
PB-19105,Peter Bühler,Consumer,United States,Smyrna,Georgia,30080,South,7,735.11,270.38,2020-01-15,BRONZE,peter.buhler@example.com,2020-01-15 06:30:00
IQ-20231,Iris Quinn,Consumer,United States,Los Angeles,California,90036,West,5,3369.62,-152.0,2020-01-15,GOLD,iris.quinn@example.com,2020-01-15 06:30:00
RA-19285,Ralph Arnett,Consumer,United States,Lakeland,Florida,33801,South,12,2933.87,730.48,2020-01-15,GOLD,ralph.arnett@example.com,2020-01-15 06:30:00
MI-20021,Meera Iyer,Consumer,United States,Houston,Texas,77041,Central,10,8363.08,845.63,2020-01-15,PLATINUM,meera.iyer@example.com,2020-01-15 06:30:00
KD-16615,Ken Dana,Corporate,United States,Anaheim,California,92804,West,7,3128.22,554.63,2020-01-15,GOLD,ken.dana@example.com,2020-01-15 06:30:00
MD-17350,Maribeth Dona,Consumer,United States,Philadelphia,Pennsylvania,19143,East,11,4448.0,-265.06,2020-01-15,GOLD,maribeth.dona@example.com,2020-01-15 06:30:00
LD-16855,Lela Donovan,Corporate,United States,Chicago,Illinois,60653,Central,4,7.09,0.61,2020-01-15,BRONZE,lela.donovan@example.com,2020-01-15 06:30:00
TB-21355,Todd Boyes,Corporate,United States,Sandy Springs,Georgia,30328,South,8,1232.29,321.85,2020-01-15,SILVER,todd.boyes@example.com,2020-01-15 06:30:00
BD-11620,Brian DeCherney,Consumer,United States,Lawton,Oklahoma,73505,Central,7,2190.6,226.54,2020-01-15,SILVER,brian.decherney@example.com,2020-01-15 06:30:00
NW-18400,Natalie Webber,Consumer,United States,Boston,Massachusetts,02108,East,8,8230.69,1356.22,2020-01-15,PLATINUM,natalie.webber@example.com,2020-01-15 06:30:00
RS-20203,Ruby Sullivan,Home Office,United States,Phoenix,Arizona,85023,West,9,1685.15,226.76,2020-01-15,SILVER,ruby.sullivan@example.com,2020-01-15 06:30:00
NB-20105,Nisha Bhatt,Consumer,United States,Atlanta,Georgia,30318,South,6,7285.6,1995.03,2020-01-15,PLATINUM,nisha.bhatt@example.com,2020-01-15 06:30:00
CS-12505,Cindy Stewart,Consumer,United States,Lancaster,Ohio,43130,East,8,6876.8,-9344.1,2020-01-15,PLATINUM,cindy.stewart@example.com,2020-01-15 06:30:00
SB-20290,Sean Braxton,Corporate,United States,,Texas,78701,Central,8,11367.25,-2553.39,2020-01-15,PLATINUM,sean.braxton@example.com,2020-01-15 06:30:00
