customer_id,customer_name,segment,country,city,state,postal_code,region,total_orders,total_sales,total_profit,last_order_date,loyalty_tier,email,record_updated_at
SM-20320,Sean Miller,Home Office,United States,Jacksonville,Florida,32216,South,5,25043.05,-1980.74,2017-10-12,PLATINUM,sean.miller@example.com,2019-12-31 22:00:00+00:00
TC-20980,Tamara Chand,Corporate,United States,Lafayette,Indiana,47905,Central,5,19052.22,8981.32,2016-11-26,PLATINUM,tamara.chand@example.com,2019-12-31 22:00:00+00:00
SC-20095,Sanjit Chand,Consumer,United States,Costa Mesa,California,92627,West,13,16545.55,6039.67,2020-01-15,PLATINUM,sanjit.chand@example.com,2020-01-15 06:30:00+00:00
RB-19360,Raymond Buch,Unknown,United States,Auburn,New York,13021,East,6,15117.34,6976.1,2017-09-25,PLATINUM,raymond.buch@example.com,2019-12-31 22:00:00+00:00
TA-21385,Tom Ashbrook,Home Office,United States,New York City,New York,10024,East,4,14595.62,4703.79,2017-10-22,PLATINUM,tom.ashbrook@example.com,2019-12-31 22:00:00+00:00
AB-10105,Adrian Barton,Consumer,United States,Houston,Texas,77041,Central,10,14473.57,5444.81,2017-11-19,PLATINUM,adrian.barton@example.com,2019-12-31 22:00:00+00:00
KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610,Central,12,14175.23,806.86,2017-11-13,PLATINUM,ken.lonsdale@example.com,2019-12-31 22:00:00+00:00
HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,6,12873.3,5622.43,2017-11-17,PLATINUM,hunter.lopez@example.com,2019-12-31 22:00:00+00:00
SE-20110,Sanjit Engle,Consumer,United States,Arlington,Virginia,22204,South,11,12209.44,2650.68,2017-12-21,PLATINUM,sanjit.engle@example.com,2019-12-31 22:00:00+00:00
CC-12370,Christopher Conant,Consumer,United States,Philadelphia,Pennsylvania,19120,East,5,12129.07,2177.05,2017-11-17,PLATINUM,christopher.conant@unknown.local,2019-12-31 22:00:00+00:00
TS-21370,Todd Sumrall,Corporate,United States,Los Angeles,California,90049,West,6,11891.75,2371.71,2017-11-24,PLATINUM,todd.sumrall@example.com,2019-12-31 22:00:00+00:00
GT-14710,Greg Tran,Consumer,United States,Seattle,Washington,98105,West,11,11820.12,2163.43,2017-11-24,PLATINUM,greg.tran@unknown.local,2019-12-31 22:00:00+00:00
PO-18850,Patrick O'Brill,Consumer,United States,Philadelphia,Pennsylvania,19143,East,14,11684.75,40.99,2020-01-15,PLATINUM,patrick.obrill@example.com,2020-01-15 06:30:00+00:00
SV-20365,Seth Vernon,Consumer,United States,New York City,New York,10035,East,10,11470.95,1199.42,2017-09-20,PLATINUM,seth.vernon@example.com,2019-12-31 22:00:00+00:00
SB-20290,Sean Braxton,Corporate,United States,Unknown,Texas,78701,Central,8,11367.25,-2553.39,2020-01-15,PLATINUM,sean.braxton@example.com,2020-01-15 06:30:00+00:00
CJ-12010,Caroline Jumper,Consumer,United States,New York City,New York,10009,East,8,11164.97,858.74,2017-06-24,PLATINUM,caroline.jumper@example.com,2019-12-31 22:00:00+00:00
RW-19540,Rick Wilson,Corporate,United States,Boston,Massachusetts,02108,East,8,10981.05,2032.81,2020-01-15,PLATINUM,rick.wilson@example.com,2020-01-15 06:30:00+00:00
CL-12565,Clay Ludtke,Consumer,United States,Cleveland,Ohio,44105,East,12,10880.55,1933.78,2017-03-21,PLATINUM,clay.ludtke@example.com,2019-12-31 22:00:00+00:00
ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,00000,South,10,10663.73,1859.47,2017-11-18,PLATINUM,maria.etezadi@example.com,2019-12-31 22:00:00+00:00
KF-16285,Karen Ferguson,Home Office,United States,Sandy Springs,Georgia,30328,South,7,10604.27,1660.14,2017-09-24,PLATINUM,karen.ferguson@example.com,2019-12-31 22:00:00+00:00
BS-11365,Bill Shonely,Corporate,United States,Lakewood,New Jersey,08701,East,5,10501.65,2616.06,2016-06-20,PLATINUM,bill.shonely@example.com,2019-12-31 22:00:00+00:00
JE-15715,Joe Elijah,Consumer,United States,Charlotte,North Carolina,28205,South,14,10406.89,1717.02,2020-01-15,PLATINUM,joe.elijah@example.com,2020-01-15 06:30:00+00:00
EH-13765,Edward Hooks,Corporate,United States,Seattle,Washington,98103,West,12,10310.88,1393.52,2017-08-17,PLATINUM,edward.hooks@unknown.local,2019-12-31 22:00:00+00:00
GT-14635,Grant Thornton,Corporate,United States,Long Beach,New York,11561,East,3,9818.77,-4108.66,2017-11-04,PLATINUM,grant.thornton@example.com,2019-12-31 23:45:00+00:00
