customer_sk,customer_id,customer_name,segment,country,city,state,postal_code,region,total_orders,total_sales,total_profit,last_order_date,loyalty_tier,email,record_updated_at,record_hash,effective_start_date,effective_end_date,is_current
1,AA-10315,Alex Avila,Consumer,United States,Round Rock,Texas,78664,Central,5,5563.56,-362.88,2017-06-29,PLATINUM,alex.avila@example.com,2019-12-31 22:00:00+00:00,7c66e4c4c6aee29c34f6b70af9d1b35b,2019-12-31 22:00:00+00:00,,True
2,AA-10375,Allen Armold,Consumer,United States,Atlanta,Georgia,30318,South,9,1056.39,277.38,2017-12-11,SILVER,allen.armold@example.com,2019-12-31 22:00:00+00:00,3ba4df118900c9ba8ba290eeefdff786,2019-12-31 22:00:00+00:00,,True
3,AA-10480,Andrew Allen,Consumer,United States,Detroit,Michigan,48234,Central,4,1790.51,435.83,2017-04-15,SILVER,andrew.allen@example.com,2019-12-31 22:00:00+00:00,4d41c623141aef49188c0f2d0afe0984,2019-12-31 22:00:00+00:00,,True
4,AA-10645,Anna Andreadi,Consumer,United States,Georgetown,Kentucky,40324,South,6,5086.93,857.8,2017-11-05,PLATINUM,anna.andreadi@example.com,2019-12-31 22:00:00+00:00,afffca4d2aa9bdf80fef8f1218760d4f,2019-12-31 22:00:00+00:00,2020-01-15 06:30:00+00:00,False
951,AA-10645,Anna Andreadi,Consumer,United States,Denver,Colorado,80202,West,7,5623.56,1169.52,2020-01-15,PLATINUM,anna.andreadi@unknown.local,2020-01-15 06:30:00+00:00,0cd6782da9cf1c4c91e6a55f2f9bddb4,2020-01-15 06:30:00+00:00,,True
5,AB-10015,Aaron Bergman,Consumer,United States,Seattle,Washington,98103,West,3,886.16,129.35,2016-11-10,BRONZE,aaron.bergman@example.com,2019-12-31 22:00:00+00:00,856759f4f9d240b9a7db1e6500e6a532,2019-12-31 22:00:00+00:00,,True
6,AB-10060,Adam Bellavance,Home Office,United States,New York City,New York,10009,East,8,7755.62,2054.59,2017-11-06,PLATINUM,adam.bellavance@example.com,2019-12-31 22:00:00+00:00,8c7990a3b16e217fc76ccd4f32503fc1,2019-12-31 22:00:00+00:00,2020-01-15 06:30:00+00:00,False
952,AB-10060,Adam Bellavance,Home Office,United States,New York City,New York,10009,East,11,9050.56,2868.97,2020-01-15,PLATINUM,adam.bellavance@example.com,2020-01-15 06:30:00+00:00,96ee9bc88ef52a85294e15af6aa79208,2020-01-15 06:30:00+00:00,,True
7,AB-10105,Adrian Barton,Consumer,United States,Houston,Texas,77041,Central,10,14473.57,5444.81,2017-11-19,PLATINUM,adrian.barton@example.com,2019-12-31 22:00:00+00:00,e2501ad50fdd48e8b4238841679b5f6d,2019-12-31 22:00:00+00:00,,True
8,AB-10150,Aimee Bixby,Consumer,United States,Yonkers,New York,10701,East,5,966.71,313.66,2017-11-19,BRONZE,aimee.bixby@example.com,2019-12-31 22:00:00+00:00,f86801d8b59618e475862071d34db0d9,2019-12-31 22:00:00+00:00,,True
