customer_id,customer_name,change_type
AA-10645,Anna Andreadi,CHANGED
AB-10060,Adam Bellavance,CHANGED
AB-20035,Ananya Bose,NEW
AG-10300,Aleksandra Gannaway,CHANGED
AH-20245,Alice Hale,NEW
AJ-10795,Anthony Johnson,CHANGED
AM-20056,Arjun Mehta,NEW
AM-20224,Adam Mercer,NEW
AR-10405,Allen Rosenblatt,CHANGED
AR-10510,Andrew Roberts,CHANGED
AR-10825,Anthony Rawles,CHANGED
AS-20000,Aarav Sharma,NEW
AT-20301,Amara Torres,NEW
BB-10990,Barry Blumstein,CHANGED
BD-11500,Bradley Drucker,CHANGED
BD-11620,Brian DeCherney,CHANGED
BD-11770,Bryan Davis,CHANGED
BF-10975,Barbara Fisher,CHANGED
BF-11080,Bart Folk,CHANGED
BF-11215,Benjamin Farhat,CHANGED
BH-11710,Brosina Hoffman,CHANGED
BV-11245,Benjamin Venier,CHANGED
BW-11065,Barry Weirich,CHANGED
BW-11110,Bart Watters,CHANGED
CA-12265,Christina Anderson,CHANGED
CA-12310,Christine Abelman,CHANGED
CC-20273,Cleo Costa,NEW
CD-11980,Carol Darley,CHANGED
CD-12790,Cynthia Delaney,CHANGED
CD-20161,Chloe Dupont,NEW
CG-12040,Catherine Glotzbach,UNCHANGED
CJ-11875,Carl Jackson,CHANGED
CM-12115,Chad McGuire,UNCHANGED
CM-12160,Charles McCrossin,CHANGED
CM-12715,Craig Molinari,UNCHANGED
CS-12250,Chris Selesnick,CHANGED
CS-12505,Cindy Stewart,CHANGED
CT-11995,Carol Triggs,CHANGED
CV-12805,Cynthia Voltz,CHANGED
CY-12745,Craig Yedwab,UNCHANGED
DA-20084,Dev Ali,NEW
DB-13060,Dave Brooks,CHANGED
DE-13255,Deanra Eno,CHANGED
DH-13675,Duane Huffman,CHANGED
DP-13105,Dave Poirier,CHANGED
DP-13165,David Philippe,CHANGED
DP-20007,Diya Patel,NEW
DR-12880,Dan Reichenbach,CHANGED
EF-20210,Ethan Ford,NEW
EG-13900,Emily Grady,CHANGED
EN-13780,Edward Nazzal,CHANGED
EP-20133,Elena Petrova,NEW
FL-20147,Freya Larsen,NEW
FW-20182,Felix Weber,NEW
GH-14425,Gary Hwang,CHANGED
GK-14620,Grace Kelly,CHANGED
GP-14740,Guy Phonely,UNCHANGED
HM-20140,Hugo Muller,NEW
IK-20049,Isha Kapoor,NEW
IQ-20231,Iris Quinn,NEW
IS-20154,Ivan Sokolov,NEW
JB-16000,Joy Bell-,CHANGED
JC-15340,Jasper Cacioppo,CHANGED
JD-16015,Joy Daniels,CHANGED
JE-15715,Joe Elijah,CHANGED
JG-15310,Jason Gross,CHANGED
JG-15805,John Grady,CHANGED
JH-16180,Justin Hirsh,CHANGED
JK-15730,Joe Kamberova,CHANGED
JK-16090,Juliana Krohn,CHANGED
JO-15280,Jas O'Carroll,CHANGED
JP-15460,Jennifer Patt,UNCHANGED
JV-20238,Jonas Vaughn,NEW
KB-16240,Karen Bern,CHANGED
KB-16405,Katrina Bavinger,CHANGED
KD-16495,Keith Dawkins,CHANGED
KD-16615,Ken Dana,CHANGED
KK-20028,Kabir Khan,NEW
KM-16375,Katherine Murray,CHANGED
KN-20308,Kian Nolan,NEW
LC-17140,Logan Currie,CHANGED
LD-16855,Lela Donovan,CHANGED
LG-20196,Leo Grant,NEW
LH-16750,Larry Hughes,CHANGED
LN-20119,Lena Novak,NEW
LR-16915,Lena Radford,CHANGED
LS-16945,Linda Southworth,CHANGED
LW-17215,Luke Weiss,UNCHANGED
MC-17275,Marc Crier,CHANGED
MC-17425,Mark Cousins,CHANGED
MC-18100,Mick Crebagga,UNCHANGED
MC-18130,Mike Caudle,CHANGED
MC-20126,Marcus Cole,NEW
MD-17350,Maribeth Dona,CHANGED
MD-17860,Michael Dominguez,CHANGED
MF-20189,Maya Fischer,NEW
MH-17290,Marc Harrigan,CHANGED
MI-20021,Meera Iyer,NEW
ML-18265,Muhammed Lee,UNCHANGED
MO-17800,Meg O'Connel,CHANGED
MT-20266,Milo Tanaka,NEW
MW-18235,Mitch Willingham,CHANGED
NB-20105,Nisha Bhatt,NEW
NB-20168,Noah Bennett,NEW
NB-20217,Nora Blake,NEW
NV-20070,Neel Verma,NEW
NW-18400,Natalie Webber,CHANGED
OH-20112,Omar Haddad,NEW
PB-19105,Peter Bühler,CHANGED
PF-19225,Phillip Flathmann,CHANGED
PG-18820,Patrick Gardner,CHANGED
PG-18895,Paul Gonzalez,UNCHANGED
PJ-19015,Pauline Johnson,CHANGED
PJ-20077,Priya Joshi,NEW
PM-18940,Paul MacIntyre,CHANGED
PO-18850,Patrick O'Brill,CHANGED
RA-19285,Ralph Arnett,CHANGED
RB-19330,Randy Bradley,CHANGED
RB-19705,Roger Barcio,CHANGED
RC-19960,Ryan Crowe,CHANGED
RD-19660,Robert Dilbeck,CHANGED
RD-19810,Ross DeVincentis,CHANGED
RF-19345,Randy Ferguson,CHANGED
RH-19600,Rob Haberlin,CHANGED
RN-20014,Rohan Nair,NEW
RO-19780,Rose O'Brian,CHANGED
RP-19855,Roy Phan,CHANGED
RS-20203,Ruby Sullivan,NEW
RS-20280,Rafael Silva,NEW
RW-19540,Rick Wilson,CHANGED
SB-20290,Sean Braxton,CHANGED
SC-20095,Sanjit Chand,CHANGED
SC-20305,Sean Christensen,CHANGED
SC-20845,Sung Chung,CHANGED
SD-20485,Shirley Daniels,CHANGED
SF-20965,Sylvia Foulston,CHANGED
SG-20605,Speros Goranitis,CHANGED
SK-19990,Sally Knutson,CHANGED
SL-20155,Sara Luxemburg,CHANGED
SO-20287,Sana Okafor,NEW
SO-20335,Sean O'Donnell,CHANGED
SR-20063,Sara Rao,NEW
SS-20410,Shahid Shariari,CHANGED
SU-20665,Stephanie Ulpright,UNCHANGED
SW-20245,Scot Wooten,CHANGED
TB-21355,Todd Boyes,CHANGED
TC-21145,Theresa Coyne,CHANGED
TD-20091,Tara Dutta,NEW
TH-21115,Thea Hudgings,CHANGED
TM-20294,Theo Mensah,NEW
TP-21565,Tracy Poddar,CHANGED
VF-21715,Vicky Freymann,CHANGED
VR-20042,Vivaan Reddy,NEW
VR-20252,Victor Rossi,NEW
WK-20259,Wren Kim,NEW
YG-20098,Yash Gill,NEW
ZA-20175,Zara Aziz,NEW
