customer_id,customer_name,email,registration_date,customer_type
CUST00001,Diya Patel,diya.patel32@mailbox.net,2025-05-09,REGULAR
CUST00002,Vivaan Rossi,vivaan.rossi76@inbox.co,2024-10-29,REGULAR
CUST00003,Isha Gill,isha.gill65@example.com,2025-03-27,REGULAR
CUST00004,Jonas Grant,jonas.grant58@shopmail.org,2025-03-14,PREMIUM
CUST00005,Aarav Verma,aarav.verma44@shopmail.org,2025-10-07,REGULAR
CUST00006,Freya Reddy,freya.reddy49@example.com,2024-11-03,REGULAR
CUST00007,Ivan Novak,ivan.novak94@inbox.co,2024-09-14,REGULAR
CUST00008,Noah Bose,noah.bose38@shopmail.org,2026-02-17,REGULAR
CUST00009,Kabir Nair,kabir.nair99@shopmail.org,2025-03-22,VIP
CUST00010,Yash Reddy,yash.reddy36@inbox.co,2025-08-25,PREMIUM
CUST00011,Chloe Verma,chloe.verma46@mailbox.net,2025-08-15,PREMIUM
CUST00012,Kabir Verma,kabir.verma94@mailbox.net,2026-01-29,REGULAR
CUST00013,Noah Cole,noah.cole29@shopmail.org,2026-02-22,PREMIUM
CUST00014,Meera Bhatt,meera.bhatt41@inbox.co,2024-09-02,REGULAR
CUST00015,Tara Tanaka,tara.tanaka28@inbox.co,2025-06-19,REGULAR
CUST00016,Ruby Rao,ruby.rao18@mailbox.net,2025-04-29,PREMIUM
CUST00017,Jonas Novak,jonas.novak55@inbox.co,2026-03-22,REGULAR
CUST00018,Arjun Vaughn,arjun.vaughn12@example.com,2025-12-19,PREMIUM
CUST00019,Sara Verma,sara.verma77@example.com,2025-10-07,REGULAR
CUST00020,Milo Blake,milo.blake33@example.com,2026-01-24,PREMIUM
CUST00021,Diya Rossi,diya.rossi99@shopmail.org,2025-05-01,REGULAR
CUST00022,Maya Verma,maya.verma1@shopmail.org,2025-11-08,VIP
CUST00023,Priya Vaughn,priya.vaughn81@shopmail.org,2024-11-17,PREMIUM
CUST00024,Adam Dutta,adam.dutta48@mailbox.net,2025-01-04,REGULAR
CUST00025,Iris Sharma,iris.sharma42@inbox.co,2026-04-06,REGULAR
CUST00026,Chloe Muller,chloe.muller8@mailbox.net,2025-04-03,PREMIUM
CUST00027,Isha Bose,isha.bose9@mailbox.net,2025-12-11,REGULAR
CUST00028,Ethan Kim,ethan.kim34@inbox.co,2025-01-17,VIP
CUST00029,Jonas Dutta,jonas.dutta52@shopmail.org,2025-06-16,REGULAR
CUST00030,Iris Ford,iris.ford32@mailbox.net,2024-12-02,REGULAR
CUST00031,Ananya Costa,ananya.costa30@,2026-02-19,REGULAR
CUST00032,Meera Bhatt,meera.bhatt5@shopmail.org,2024-10-09,REGULAR
CUST00033,Nisha Cole,nisha.cole28@mailbox.net,2025-12-11,PREMIUM
CUST00034,Victor Tanaka,victor.tanaka32@inbox.co,2025-11-28,PREMIUM
CUST00035,Dev Reddy,dev.reddy85@inbox.co,2024-11-08,REGULAR
CUST00036,Felix Blake,felix.blake87@example.com,2024-09-25,REGULAR
CUST00037,Freya Reddy,freya.reddy25@,2025-04-12,REGULAR
CUST00038,Arjun Sullivan,arjun.sullivan36@inbox.co,2025-02-04,REGULAR
CUST00039,Kabir Ford,kabir.ford13@example.com,2026-02-15,PREMIUM
CUST00040,Jonas Sharma,jonas.sharma97@mailbox.net,2024-11-04,REGULAR
CUST00041,Nora Mercer,nora.mercer52@example.com,2025-03-07,REGULAR
CUST00042,Aarav Weber,aarav.weber59@shopmail.org,2025-04-29,REGULAR
CUST00043,Alice Quinn,alice.quinn25shopmail.org,2025-01-06,REGULAR
CUST00044,Meera Costa,meera.costa8@shopmail.org,2026-02-07,REGULAR
CUST00045,Wren Mercer,wren.mercer68@mailbox.net,2025-12-28,REGULAR
CUST00046,Adam Bose,adam.bose9@example.com,2025-02-07,PREMIUM
