customer_id,customer_name,customer_type,orders_placed,last_order_date,statuses_seen
CUST00040,Jonas Sharma,REGULAR,5,2026-06-16,"SHIPPED,RETURNED,PLACED,CANCELLED"
CUST00014,Meera Bhatt,REGULAR,4,2026-07-17,"SHIPPED,CANCELLED"
CUST00195,Vivaan Quinn,REGULAR,4,2026-07-19,"PLACED,RETURNED,SHIPPED"
CUST00369,Neel Fischer,PREMIUM,4,2026-07-25,"PLACED,CANCELLED,SHIPPED"
CUST00528,Victor Verma,PREMIUM,4,2026-06-05,"CANCELLED,SHIPPED"
CUST00529,Victor Kapoor,REGULAR,4,2026-04-02,"SHIPPED,PLACED"
CUST00634,Ananya Quinn,REGULAR,4,2026-07-21,"CANCELLED,PLACED"
CUST00670,Isha Bennett,REGULAR,4,2026-05-18,"SHIPPED,PLACED,CANCELLED"
CUST00191,Ruby Muller,REGULAR,3,2026-03-16,"CANCELLED,RETURNED"
CUST00213,Felix Sokolov,PREMIUM,3,2026-04-29,"CANCELLED,RETURNED,SHIPPED"
CUST00322,Lena Ford,REGULAR,3,2026-04-21,"SHIPPED,CANCELLED"
CUST00331,Lena Kapoor,REGULAR,3,2025-12-26,"PLACED,CANCELLED"
CUST00686,Alice Gill,PREMIUM,3,2026-05-06,"SHIPPED,CANCELLED,RETURNED"
CUST00718,Yash Gill,REGULAR,3,2025-12-04,"CANCELLED,PLACED"
CUST00081,Yash Dutta,REGULAR,2,2025-04-14,CANCELLED
CUST00296,Leo Bennett,REGULAR,2,2026-05-22,"PLACED,SHIPPED"
CUST00317,Ananya Quinn,REGULAR,2,2026-07-10,"CANCELLED,SHIPPED"
CUST00373,Milo Bose,REGULAR,2,2026-02-27,SHIPPED
CUST00377,Ruby Mehta,REGULAR,2,2026-07-17,"CANCELLED,PLACED"
CUST00488,Milo Rossi,REGULAR,2,2025-04-22,PLACED
CUST00591,Maya Verma,REGULAR,2,2026-07-31,"PLACED,RETURNED"
CUST00697,Noah Grant,REGULAR,2,2026-05-10,"SHIPPED,CANCELLED"
CUST00742,Ivan Mehta,REGULAR,2,2026-04-16,"SHIPPED,PLACED"
CUST00783,Tara Larsen,REGULAR,2,2025-11-11,"PLACED,SHIPPED"
CUST00036,Felix Blake,REGULAR,1,2024-11-26,SHIPPED
CUST00043,Alice Quinn,REGULAR,1,2025-12-13,CANCELLED
CUST00074,Elena Vaughn,REGULAR,1,2026-06-27,SHIPPED
CUST00092,Sara Gill,REGULAR,1,2026-07-26,CANCELLED
CUST00093,Ruby Grant,REGULAR,1,2026-04-02,SHIPPED
CUST00123,Hugo Kapoor,REGULAR,1,2026-03-03,CANCELLED
CUST00152,Alice Mehta,REGULAR,1,2025-11-03,CANCELLED
CUST00197,Vivaan Bennett,REGULAR,1,2026-02-10,PLACED
CUST00277,Aarav Dupont,REGULAR,1,2025-05-28,PLACED
CUST00294,Sara Ford,REGULAR,1,2024-11-29,PLACED
CUST00305,Victor Bennett,REGULAR,1,2026-06-17,PLACED
CUST00379,Aarav Gill,REGULAR,1,2026-03-24,SHIPPED
CUST00381,Felix Joshi,REGULAR,1,2025-09-07,PLACED
CUST00473,Hugo Kapoor,REGULAR,1,2026-01-18,PLACED
CUST00504,Maya Mehta,REGULAR,1,2026-01-25,PLACED
CUST00620,Dev Iyer,REGULAR,1,2025-09-23,RETURNED
CUST00626,Lena Grant,REGULAR,1,2026-03-26,CANCELLED
CUST00642,Dev Vaughn,REGULAR,1,2025-07-10,SHIPPED
CUST00653,Arjun Sokolov,REGULAR,1,2026-03-18,PLACED
CUST00660,Lena Mehta,REGULAR,1,2025-12-30,SHIPPED
CUST00715,Cleo Muller,REGULAR,1,2026-07-11,CANCELLED
CUST00762,Ivan Quinn,REGULAR,1,2026-02-10,CANCELLED
CUST00765,Diya Bhatt,REGULAR,1,2026-05-28,PLACED
CUST00784,Wren Novak,REGULAR,1,2026-07-27,CANCELLED
CUST00794,Iris Petrova,REGULAR,1,2025-07-22,SHIPPED
